date,long_term_real_average
12/31/20,-0.48
12/30/20,-0.45
12/29/20,-0.45
12/28/20,-0.46
12/24/20,-0.46
12/23/20,-0.43
12/22/20,-0.44
12/21/20,-0.43
12/18/20,-0.43
12/17/20,-0.44
12/16/20,-0.43
12/15/20,-0.45
12/14/20,-0.44
12/11/20,-0.44
12/10/20,-0.44
12/9/20,-0.42
12/8/20,-0.42
12/7/20,-0.4
12/4/20,-0.38
12/3/20,-0.42
12/2/20,-0.39
12/1/20,-0.39
11/30/20,-0.44
11/27/20,-0.42
11/25/20,-0.38
11/24/20,-0.37
11/23/20,-0.38
11/20/20,-0.4
11/19/20,-0.36
11/18/20,-0.33
11/17/20,-0.34
11/16/20,-0.31
11/13/20,-0.33
11/12/20,-0.33
11/10/20,-0.26
11/9/20,-0.24
11/6/20,-0.32
11/5/20,-0.38
11/4/20,-0.36
11/3/20,-0.33
11/2/20,-0.34
10/30/20,-0.31
10/29/20,-0.34
10/28/20,-0.38
10/27/20,-0.38
10/26/20,-0.36
10/23/20,-0.34
10/22/20,-0.32
10/21/20,-0.34
10/20/20,-0.35
10/19/20,-0.38
10/16/20,-0.41
10/15/20,-0.41
10/14/20,-0.41
10/13/20,-0.41
10/9/20,-0.37
10/8/20,-0.37
10/7/20,-0.32
10/6/20,-0.34
10/5/20,-0.35
10/2/20,-0.41
10/1/20,-0.41
9/30/20,-0.4
9/29/20,-0.44
9/28/20,-0.42
9/25/20,-0.41
9/24/20,-0.4
9/23/20,-0.38
9/22/20,-0.38
9/21/20,-0.38
9/18/20,-0.39
9/17/20,-0.4
9/16/20,-0.4
9/15/20,-0.41
9/14/20,-0.4
9/11/20,-0.41
9/10/20,-0.43
9/9/20,-0.42
9/8/20,-0.42
9/4/20,-0.41
9/3/20,-0.47
9/2/20,-0.48
9/1/20,-0.47
8/31/20,-0.44
8/28/20,-0.37
8/27/20,-0.35
8/26/20,-0.42
8/25/20,-0.42
8/24/20,-0.43
8/21/20,-0.41
8/20/20,-0.37
8/19/20,-0.4
8/18/20,-0.42
8/17/20,-0.35
8/14/20,-0.33
8/13/20,-0.37
8/12/20,-0.41
8/11/20,-0.43
8/10/20,-0.47
8/7/20,-0.48
8/6/20,-0.52
8/5/20,-0.51
8/4/20,-0.51
8/3/20,-0.49
7/31/20,-0.49
7/30/20,-0.46
7/29/20,-0.44
7/28/20,-0.43
7/27/20,-0.4
7/24/20,-0.41
7/23/20,-0.39
7/22/20,-0.37
7/21/20,-0.37
7/20/20,-0.34
7/17/20,-0.33
7/16/20,-0.31
7/15/20,-0.29
7/14/20,-0.3
7/13/20,-0.29
7/10/20,-0.27
7/9/20,-0.29
7/8/20,-0.24
7/7/20,-0.27
7/6/20,-0.24
7/2/20,-0.23
7/1/20,-0.2
6/30/20,-0.2
6/29/20,-0.22
6/26/20,-0.23
6/25/20,-0.2
6/24/20,-0.18
6/23/20,-0.18
6/22/20,-0.17
6/19/20,-0.13
6/18/20,-0.11
6/17/20,-0.06
6/16/20,-0.06
6/15/20,-0.09
6/12/20,-0.08
6/11/20,-0.14
6/10/20,-0.07
6/9/20,0.01
6/8/20,0.04
6/5/20,0.06
6/4/20,0.03
6/3/20,-0.02
6/2/20,-0.06
6/1/20,-0.09
5/29/20,-0.1
5/28/20,-0.08
5/27/20,-0.06
5/26/20,-0.05
5/22/20,-0.1
5/21/20,-0.1
5/20/20,-0.12
5/19/20,-0.08
5/18/20,-0.08
5/15/20,-0.12
5/14/20,-0.11
5/13/20,-0.09
5/12/20,-0.06
5/11/20,-0.06
5/8/20,-0.09
5/7/20,-0.12
5/6/20,-0.05
5/5/20,-0.13
5/4/20,-0.12
5/1/20,-0.12
4/30/20,-0.12
4/29/20,-0.21
4/28/20,-0.25
4/27/20,-0.23
4/24/20,-0.25
4/23/20,-0.19
4/22/20,-0.17
4/21/20,-0.13
4/20/20,-0.04
4/17/20,-0.04
4/16/20,-0.1
4/15/20,-0.21
4/14/20,-0.16
4/13/20,-0.14
4/9/20,-0.13
4/8/20,-0.06
4/7/20,-0.07
4/6/20,-0.1
4/3/20,-0.09
4/2/20,-0.03
4/1/20,0.06
3/31/20,0.16
3/30/20,0.04
3/27/20,-0.02
3/26/20,-0.05
3/25/20,0.01
3/24/20,-0.04
3/23/20,0.04
3/20/20,0.39
3/19/20,0.84
3/18/20,0.81
3/17/20,0.72
3/16/20,0.35
3/13/20,0.43
3/12/20,0.37
3/11/20,0.18
3/10/20,0.08
3/9/20,-0.2
3/6/20,-0.24
3/5/20,-0.05
3/4/20,0
3/3/20,0.01
3/2/20,0.07
2/28/20,0.09
2/27/20,0.12
2/26/20,0.14
2/25/20,0.13
2/24/20,0.13
2/21/20,0.17
2/20/20,0.21
2/19/20,0.24
2/18/20,0.23
2/14/20,0.27
2/13/20,0.29
2/12/20,0.32
2/11/20,0.29
2/10/20,0.25
2/7/20,0.27
2/6/20,0.32
2/5/20,0.35
2/4/20,0.31
2/3/20,0.26
1/31/20,0.22
1/30/20,0.27
1/29/20,0.28
1/28/20,0.32
1/27/20,0.3
1/24/20,0.34
1/23/20,0.38
1/22/20,0.41
1/21/20,0.41
1/17/20,0.46
1/16/20,0.42
1/15/20,0.4
1/14/20,0.41
1/13/20,0.44
1/10/20,0.43
1/9/20,0.48
1/8/20,0.5
1/7/20,0.48
1/6/20,0.44
1/3/20,0.41
1/2/20,0.46
12/31/19,0.53
12/30/19,0.51
12/27/19,0.5
12/26/19,0.5
12/24/19,0.49
12/23/19,0.51
12/20/19,0.49
12/19/19,0.48
12/18/19,0.5
12/17/19,0.48
12/16/19,0.49
12/13/19,0.46
12/12/19,0.5
12/11/19,0.44
12/10/19,0.46
12/9/19,0.47
12/6/19,0.47
12/5/19,0.46
12/4/19,0.43
12/3/19,0.41
12/2/19,0.5
11/29/19,0.47
11/27/19,0.43
11/26/19,0.41
11/25/19,0.44
11/22/19,0.45
11/21/19,0.47
11/20/19,0.45
11/19/19,0.49
11/18/19,0.53
11/15/19,0.55
11/14/19,0.54
11/13/19,0.56
11/12/19,0.57
11/8/19,0.58
11/7/19,0.57
11/6/19,0.5
11/5/19,0.54
11/4/19,0.51
11/1/19,0.5
10/31/19,0.51
10/30/19,0.56
10/29/19,0.6
10/28/19,0.57
10/25/19,0.52
10/24/19,0.52
10/23/19,0.52
10/22/19,0.53
10/21/19,0.56
10/18/19,0.54
10/17/19,0.54
10/16/19,0.55
10/15/19,0.55
10/11/19,0.55
10/10/19,0.52
10/9/19,0.48
10/8/19,0.44
10/7/19,0.41
10/4/19,0.38
10/3/19,0.44
10/2/19,0.47
10/1/19,0.47
9/30/19,0.49
9/27/19,0.49
9/26/19,0.48
9/25/19,0.48
9/24/19,0.41
9/23/19,0.45
9/20/19,0.46
9/19/19,0.53
9/18/19,0.55
9/17/19,0.52
9/16/19,0.55
9/13/19,0.61
9/12/19,0.54
9/11/19,0.52
9/10/19,0.5
9/9/19,0.43
9/6/19,0.37
9/5/19,0.39
9/4/19,0.34
9/3/19,0.33
8/30/19,0.31
8/29/19,0.27
8/28/19,0.28
8/27/19,0.32
8/26/19,0.39
8/23/19,0.38
8/22/19,0.46
8/21/19,0.45
8/20/19,0.43
8/19/19,0.44
8/16/19,0.4
8/15/19,0.36
8/14/19,0.39
8/13/19,0.44
8/12/19,0.43
8/9/19,0.5
8/8/19,0.49
8/7/19,0.51
8/6/19,0.54
8/5/19,0.6
8/2/19,0.64
8/1/19,0.65
7/31/19,0.67
7/30/19,0.72
7/29/19,0.73
7/26/19,0.73
7/25/19,0.71
7/24/19,0.69
7/23/19,0.71
7/22/19,0.7
7/19/19,0.7
7/18/19,0.69
7/17/19,0.7
7/16/19,0.73
7/15/19,0.72
7/12/19,0.75
7/11/19,0.75
7/10/19,0.71
7/9/19,0.71
7/8/19,0.71
7/5/19,0.73
7/3/19,0.7
7/2/19,0.74
7/1/19,0.76
6/28/19,0.72
6/27/19,0.71
6/26/19,0.74
6/25/19,0.73
6/24/19,0.71
6/21/19,0.74
6/20/19,0.66
6/19/19,0.72
6/18/19,0.77
6/17/19,0.82
6/14/19,0.82
6/13/19,0.79
6/12/19,0.78
6/11/19,0.78
6/10/19,0.78
6/7/19,0.71
6/6/19,0.75
6/5/19,0.73
6/4/19,0.73
6/3/19,0.67
5/31/19,0.71
5/30/19,0.77
5/29/19,0.8
5/28/19,0.83
5/24/19,0.85
5/23/19,0.87
5/22/19,0.9
5/21/19,0.9
5/20/19,0.91
5/17/19,0.9
5/16/19,0.9
5/15/19,0.88
5/14/19,0.89
5/13/19,0.88
5/10/19,0.91
5/9/19,0.92
5/8/19,0.95
5/7/19,0.9
5/6/19,0.92
5/3/19,0.93
5/2/19,0.96
5/1/19,0.91
4/30/19,0.9
4/29/19,0.92
4/26/19,0.88
4/25/19,0.89
4/24/19,0.9
4/23/19,0.95
4/22/19,0.97
4/18/19,0.95
4/17/19,0.98
4/16/19,0.98
4/15/19,0.92
4/12/19,0.93
4/11/19,0.91
4/10/19,0.87
4/9/19,0.91
4/8/19,0.92
4/5/19,0.91
4/4/19,0.92
4/3/19,0.93
4/2/19,0.88
4/1/19,0.89
3/29/19,0.83
3/28/19,0.87
3/27/19,0.88
3/26/19,0.88
3/25/19,0.86
3/22/19,0.85
3/21/19,0.89
3/20/19,0.91
3/19/19,0.97
3/18/19,0.96
3/15/19,0.97
3/14/19,1
3/13/19,1
3/12/19,1.01
3/11/19,1.03
3/8/19,1.01
3/7/19,1.03
3/6/19,1.06
3/5/19,1.07
3/4/19,1.06
3/1/19,1.08
2/28/19,1.06
2/27/19,1.04
2/26/19,0.99
2/25/19,1.01
2/22/19,1.01
2/21/19,1.04
2/20/19,1.01
2/19/19,1.03
2/15/19,1.05
2/14/19,1.06
2/13/19,1.09
2/12/19,1.09
2/11/19,1.07
2/8/19,1.05
2/7/19,1.06
2/6/19,1.08
2/5/19,1.07
2/4/19,1.09
2/1/19,1.06
1/31/19,1.02
1/30/19,1.12
1/29/19,1.16
1/28/19,1.19
1/25/19,1.18
1/24/19,1.16
1/23/19,1.17
1/22/19,1.16
1/18/19,1.18
1/17/19,1.18
1/16/19,1.16
1/15/19,1.15
1/14/19,1.14
1/11/19,1.12
1/10/19,1.15
1/9/19,1.12
1/8/19,1.11
1/7/19,1.14
1/4/19,1.12
1/3/19,1.1
1/2/19,1.15
12/31/18,1.17
12/28/18,1.17
12/27/18,1.2
12/26/18,1.18
12/24/18,1.13
12/21/18,1.15
12/20/18,1.14
12/19/18,1.1
12/18/18,1.15
12/17/18,1.19
12/14/18,1.21
12/13/18,1.22
12/12/18,1.22
12/11/18,1.2
12/10/18,1.16
12/7/18,1.14
12/6/18,1.12
12/4/18,1.13
12/3/18,1.2
11/30/18,1.22
11/29/18,1.24
11/28/18,1.3
11/27/18,1.31
11/26/18,1.27
11/23/18,1.25
11/21/18,1.25
11/20/18,1.25
11/19/18,1.23
11/16/18,1.22
11/15/18,1.27
11/14/18,1.27
11/13/18,1.26
11/9/18,1.28
11/8/18,1.3
11/7/18,1.3
11/6/18,1.3
11/5/18,1.3
11/2/18,1.34
11/1/18,1.29
10/31/18,1.27
10/30/18,1.25
10/29/18,1.21
10/26/18,1.2
10/25/18,1.25
10/24/18,1.2
10/23/18,1.23
10/22/18,1.24
10/19/18,1.23
10/18/18,1.21
10/17/18,1.19
10/16/18,1.17
10/15/18,1.17
10/12/18,1.16
10/11/18,1.16
10/10/18,1.2
10/9/18,1.17
10/5/18,1.21
10/4/18,1.16
10/3/18,1.11
10/2/18,1.05
10/1/18,1.07
9/28/18,1.02
9/27/18,1.02
9/26/18,1.02
9/25/18,1.04
9/24/18,1.03
9/21/18,1.02
9/20/18,1.03
